Time,Current,Filtered,Current.1
0.417,6.346633e-10,,
0.418,6.343412e-10,,
0.419,6.346633e-10,,
0.42,6.343412e-10,,
0.421,6.343412e-10,,
0.422,6.346633e-10,,
0.423,6.346633e-10,,
0.424,6.343412e-10,,
0.425,6.343412e-10,,
0.426,6.33697e-10,,
0.427,6.340191e-10,,
0.428,6.33697e-10,,
0.429,6.343412e-10,,
0.43,6.33697e-10,,
0.431,6.340191e-10,,
0.432,6.340191e-10,,
0.433,6.343412e-10,,
0.434,6.33697e-10,,
0.435,6.343412e-10,,
0.436,6.343412e-10,,
0.437,6.346633e-10,,
0.438,6.346633e-10,,
0.439,6.343412e-10,,
0.44,6.340191e-10,,
0.441,6.346633e-10,,
0.442,6.343412e-10,,
0.443,6.343412e-10,,
0.444,6.349853e-10,,
0.445,6.33697e-10,,
0.446,6.343412e-10,,
0.447,6.33697e-10,,
0.448,6.33697e-10,,
0.449,6.33697e-10,,
0.45,6.33697e-10,,
0.451,6.340191e-10,,
0.452,6.343412e-10,,
0.453,6.340191e-10,,
0.454,6.343412e-10,,
0.455,6.343412e-10,,
0.456,6.346633e-10,,
0.457,6.343412e-10,,
0.458,6.349853e-10,,
0.459,6.346633e-10,,
0.46,6.346633e-10,,
0.461,6.340191e-10,,
0.462,6.346633e-10,,
0.463,6.340191e-10,,
0.464,6.33375e-10,,
0.465,6.33697e-10,,
0.466,6.343412e-10,,
0.467,6.343412e-10,,
0.468,6.33697e-10,,
0.469,6.33697e-10,,
0.47,6.346633e-10,,
0.471,6.346633e-10,,
0.472,6.340191e-10,,
0.473,6.340191e-10,,
0.474,6.343412e-10,,
0.475,6.346633e-10,,
0.476,6.340191e-10,,
0.477,6.343412e-10,,
0.478,6.340191e-10,,
0.479,6.346633e-10,,
0.48,6.346633e-10,,
0.481,6.343412e-10,,
0.482,6.343412e-10,,
0.483,6.340191e-10,,
0.484,6.33375e-10,,
0.485,6.33697e-10,,
0.486,6.346633e-10,,
0.487,6.340191e-10,,
0.488,6.346633e-10,,
0.489,6.346633e-10,,
0.49,6.346633e-10,,
0.491,6.349853e-10,,
0.492,6.353074e-10,,
0.493,6.343412e-10,,
0.494,6.343412e-10,,
0.495,6.340191e-10,,
0.496,6.340191e-10,,
0.497,6.346633e-10,,
0.498,6.349853e-10,,
0.499,6.346633e-10,,
0.5,6.343412e-10,,
0.501,6.343412e-10,,
0.502,6.343412e-10,,
0.503,6.343412e-10,,
0.504,6.343412e-10,,
0.505,6.343412e-10,,
0.506,6.346633e-10,,
0.507,6.346633e-10,,
0.508,6.349853e-10,,
0.509,6.346633e-10,,
0.51,6.343412e-10,,
0.511,6.340191e-10,,
0.512,6.346633e-10,,
0.513,6.343412e-10,,
0.514,6.343412e-10,,
0.515,6.340191e-10,,
0.516,6.33697e-10,,
0.517,6.346633e-10,,
0.518,6.346633e-10,,
0.519,6.343412e-10,,
0.52,6.33697e-10,,
0.521,6.349853e-10,,
0.522,6.346633e-10,,
0.523,6.349853e-10,,
0.524,6.343412e-10,,
0.525,6.346633e-10,,
0.526,6.340191e-10,,
0.527,6.349853e-10,,
0.528,6.343412e-10,,
0.529,6.343412e-10,,
0.53,6.340191e-10,,
0.531,6.346633e-10,,
0.532,6.340191e-10,,
0.533,6.340191e-10,,
0.534,6.33697e-10,,
0.535,6.346633e-10,,
0.536,6.343412e-10,,
0.537,6.343412e-10,,
0.538,6.346633e-10,,
0.539,6.343412e-10,,
0.54,6.346633e-10,,
0.541,6.346633e-10,,
0.542,6.343412e-10,,
0.543,6.343412e-10,,
0.544,6.340191e-10,,
0.545,6.340191e-10,,
0.546,6.340191e-10,,
0.547,6.340191e-10,,
0.548,6.340191e-10,,
0.549,6.33375e-10,,
0.55,6.33375e-10,,
0.551,6.340191e-10,,
0.552,6.340191e-10,,
0.553,6.33697e-10,,
0.554,6.33375e-10,,
0.555,6.340191e-10,,
0.556,6.340191e-10,,
0.557,6.340191e-10,,
0.558,6.340191e-10,,
0.559,6.33697e-10,,
0.56,6.33697e-10,,
0.561,6.33697e-10,,
0.562,6.330529e-10,,
0.563,6.33375e-10,,
0.564,6.340191e-10,,
0.565,6.33697e-10,,
0.566,6.33375e-10,,
0.567,6.33375e-10,,
0.568,6.330529e-10,,
0.569,6.33375e-10,,
0.57,6.330529e-10,,
0.571,6.33697e-10,,
0.572,6.340191e-10,,
0.573,6.33375e-10,,
0.574,6.33375e-10,,
0.575,6.330529e-10,,
0.576,6.330529e-10,,
0.577,6.330529e-10,,
0.578,6.327308e-10,,
0.579,6.327308e-10,,
0.58,6.324088e-10,,
0.581,6.327308e-10,,
0.582,6.324088e-10,,
0.583,6.324088e-10,,
0.584,6.330529e-10,,
0.585,6.327308e-10,,
0.586,6.327308e-10,,
0.587,6.330529e-10,,
0.588,6.327308e-10,,
0.589,6.327308e-10,,
0.59,6.330529e-10,,
0.591,6.327308e-10,,
0.592,6.327308e-10,,
0.593,6.330529e-10,,
