Time,Current,Filtered,Current.1,morph_signal,timing_signal
1.264,6.250012e-10,,,6.242711833333333e-10,-3.246939500000009e-12
1.265,6.24035e-10,,,6.243141233333333e-10,-4.202028150000005e-12
1.266,6.246791e-10,,,6.2434633e-10,-3.5468167999999493e-12
1.267,6.243571e-10,,,6.244000066666666e-10,-3.857866449999975e-12
1.268,6.243571e-10,,,6.244322133333332e-10,-3.846916099999927e-12
1.269,6.24035e-10,,,6.244322133333335e-10,-4.158226799999986e-12
1.27,6.246791e-10,,,6.244214766666667e-10,-3.5034985500000704e-12
1.271,6.243571e-10,,,6.2441074e-10,-3.814709249999994e-12
1.272,6.243571e-10,,,6.244000033333334e-10,-3.804242049999949e-12
1.273,6.246791e-10,,,6.243892666666667e-10,-3.4716138000000353e-12
1.274,6.246791e-10,,,6.243892666666667e-10,-3.460985549999989e-12
1.275,6.250012e-10,,,6.243677966666667e-10,-3.128418350000045e-12
1.276,6.246791e-10,,,6.243677966666667e-10,-3.43972905e-12
1.277,6.243571e-10,,,6.2433559e-10,-3.751261850000029e-12
1.278,6.243571e-10,,,6.243033833333333e-10,-3.740633599999879e-12
1.279,6.246791e-10,,,6.242819133333333e-10,-3.4086495000000034e-12
1.28,6.243571e-10,,,6.242497066666666e-10,-3.7203432999999634e-12
1.281,6.246791e-10,,,6.242175e-10,-3.3880370999999823e-12
1.282,6.243571e-10,,,6.241852933333333e-10,-3.699891949999943e-12
1.283,6.237129e-10,,,6.241745566666666e-10,-4.333946800000042e-12
1.284,6.237129e-10,,,6.2414235e-10,-4.3234795500000305e-12
1.285,6.237129e-10,,,6.240886733333333e-10,-4.313495450000022e-12
1.286,6.237129e-10,,,6.240457333333333e-10,-4.303350300000012e-12
1.287,6.24035e-10,,,6.2398132e-10,-3.97110515e-12
1.288,6.24035e-10,,,6.239383766666667e-10,-3.9616041499999244e-12
1.289,6.24035e-10,,,6.238739633333333e-10,-3.9517810499999505e-12
1.29,6.246791e-10,,,6.238095500000001e-10,-3.297535899999968e-12
1.291,6.237129e-10,,,6.237236666666667e-10,-4.253912799999969e-12
1.292,6.24035e-10,,,6.2366999e-10,-3.9223117500000286e-12
1.293,6.233909e-10,,,6.236055766666667e-10,-4.5572327999999616e-12
1.294,6.24035e-10,,,6.235304266666667e-10,-3.9034707500000155e-12
1.295,6.230688e-10,,,6.234660133333334e-10,-4.860169749999915e-12
1.296,6.237129e-10,,,6.234016e-10,-4.206407699999969e-12
1.297,6.24035e-10,,,6.2330498e-10,-3.874645650000097e-12
1.298,6.233909e-10,,,6.2322983e-10,-4.5092446499999945e-12
1.299,6.224247e-10,,,6.231761533333333e-10,-5.466265700000033e-12
1.3,6.233909e-10,,,6.231224766666667e-10,-4.490725699999914e-12
1.301,6.224247e-10,,,6.230688e-10,-5.448068850000058e-12
1.302,6.230688e-10,,,6.229936533333333e-10,-4.794628899999907e-12
1.303,6.227467e-10,,,6.2290777e-10,-5.107710950000007e-12
1.304,6.227467e-10,,,6.228218866666667e-10,-5.0988540499998996e-12
1.305,6.224247e-10,,,6.227467366666667e-10,-5.4115140500001395e-12
1.306,6.230688e-10,,,6.226608533333333e-10,-4.7585571499999554e-12
1.307,6.224247e-10,,,6.225857066666668e-10,-5.3938002500000275e-12
1.308,6.221026e-10,,,6.224998233333333e-10,-5.7073654500000274e-12
1.309,6.227467e-10,,,6.224461433333333e-10,-5.0547306499999485e-12
1.31,6.224247e-10,,,6.223709933333333e-10,-5.36819585000002e-12
1.311,6.217805e-10,,,6.223280500000001e-10,-6.003377949999986e-12
1.312,6.221026e-10,,,6.222314299999999e-10,-5.672421050000082e-12
1.313,6.221026e-10,,,6.2213481e-10,-5.66388625000008e-12
1.314,6.221026e-10,,,6.220703966666667e-10,-5.655190399999973e-12
1.315,6.221026e-10,,,6.220274533333333e-10,-5.646655550000004e-12
1.316,6.214585e-10,,,6.219415666666666e-10,-6.28238175000001e-12
1.317,6.214585e-10,,,6.218986233333333e-10,-6.273846900000041e-12
1.318,6.214585e-10,,,6.2183421e-10,-6.265312050000072e-12
1.319,6.217805e-10,,,6.217912700000001e-10,-5.9352603500000324e-12
1.32,6.221026e-10,,,6.217161233333332e-10,-5.60494759999996e-12
1.321,6.214585e-10,,,6.216731799999999e-10,-6.240512749999964e-12
1.322,6.214585e-10,,,6.216087666666665e-10,-6.232138949999996e-12
1.323,6.217805e-10,,,6.215443533333333e-10,-5.902248300000061e-12
